future_irr_inflows[, 1]	Cold.Stream	Hamlin.Creek	Turner.Creek	Fletcher.Creek	Carman.Creek	Big.Grizzly.Creek	Mapes.Creek	Little.Last.Chance.Creek	Correco.Canyon	Bear.Valley.Creek.Smithneck.Creek	Lemon.Creek
May-2031	6597655.00313826	265829.058900839	167686.87698388	52942.9052599348	59574.1870127703	19239.0185673221	32001.7083763151	2206074.12905294	0	2690004.63297712	798249.582077117
Jun-2031	9907168.48048796	616781.572605473	320358.400055176	116249.3077664	41286.2248625836	66063.9332405953	19233.254985319	3507581.95549286	0	2287286.63782464	568361.739806904
Jul-2031	3743514.63215312	327292.579237247	91866.9714886882	69200.1407069008	35278.3831199229	219075.852451166	13302.4020182513	3628735.1304943	0	616208.299759772	96192.052839849
Aug-2031	1534290.17344411	128096.338142346	30223.0442292668	10556.3073836167	28605.87747477	336747.524475388	10187.7001667921	3735492.18221627	0	419952.11692521	71488.8349556075
Sep-2031	450570.115006925	35301.1668173528	11718.3812396665	3238.96030203536	22643.3039192974	43904.4849265155	7810.03521661229	1022038.82943692	0	183241.314479219	53795.845325068
Oct-2032	222744.408663665	28881.1276823061	8547.11382555136	2483.41148468455	24192.6671686988	0	8784.69966803811	592947.291026144	0	150946.807952758	46141.0814594028
Nov-2032	260286.295088455	28181.9966469485	30110.6079506671	2752.65520867042	31496.779812582	15931.8803006387	13376.9742555603	159318.803006387	0	201903.361824905	45947.0344429539
Dec-2032	241137.118142607	27571.7925032738	45047.2409860214	4390.73332705699	41225.9052923044	19154.2887329473	18222.7143141254	0	0	193935.885862022	50101.5932672379
Jan-2032	373053.910856295	36269.6454387925	74295.2611775511	11068.1291022118	49286.2425431084	37173.7254103065	35863.60590601	0	0	250735.48964207	63379.559573825
Feb-2032	1385278.28917617	111784.187026491	440712.170478873	65940.7942599865	81898.1890169581	30466.6574759198	109770.243384028	0	0	810375.47405499	102337.398795102
Mar-2032	1391460.76915655	103839.376883464	157822.324543343	57435.3307777387	102038.965254075	29482.2085822127	58009.0053817476	0	0	777823.560715478	197257.42732272
Apr-2032	5160716.12840387	93080.6884879868	94449.4293407267	17316.6731610166	58624.1916552993	27833.8350001554	24766.9558377246	48709.211250272	0	583918.55919976	163891.720973991
May-2032	5487503.30639627	98249.42659569	51570.9654595126	7658.89373594143	38805.8295646178	28601.7094371835	13434.1111877206	3870457.13190274	0	639031.935278426	132500.620593444
Jun-2032	3499651.64983421	75338.2310164453	23762.7983094072	4390.36084920194	28314.6546733015	225551.317013063	7368.30100932017	3653461.43703451	0	430517.349273499	76126.3653189314
Jul-2032	827045.839288153	42959.2739547169	11576.1211616195	3004.32251478666	21670.4808472314	319015.954607124	4457.57682426652	3099362.69745229	0	309234.910556066	60637.4677573743
Aug-2032	405105.436131834	22973.8322144471	6604.10965194412	2029.42059599559	16023.8596264294	275980.010036131	2715.97061341969	2764728.31482624	0	183519.181670649	46850.2151873849
