future_nonIrr_inflows[, 1]	Cold.Stream	Hamlin.Creek	Turner.Creek	Fletcher.Creek	Carman.Creek	Big.Grizzly.Creek	Mapes.Creek	Little.Last.Chance.Creek	Correco.Canyon	Bear.Valley.Creek.Smithneck.Creek	Lemon.Creek
Feb-2035	0	0	0	0	0	871226.105361842	0	234348.794163787	0	0	0
Mar-2035	0	0	0	0	0	423613.550513047	0	104601.781746797	0	0	0
Apr-2035	0	0	0	0	0	163824.10482434	0	52399.6217636677	0	0	0
May-2035	0	0	0	0	0	239415.11289723	0	23769.2702013078	0	0	0
Jun-2035	0	0	0	0	0	493036.917374414	0	53522.5261517565	0	0	0
Jul-2035	0	0	0	0	0	584079.241081358	0	111029.788799937	0	0	0
Aug-2035	0	0	0	0	0	534165.42413276	0	98273.7575555822	0	0	0
Sep-2035	0	0	0	0	0	508413.233708298	0	134836.583042763	0	0	0
Oct-2036	0	0	0	0	0	280726.647098084	0	98364.8487863367	0	0	0
Nov-2036	0	0	0	0	0	290710.607803196	0	109016.477926199	0	0	0
Dec-2036	0	0	0	0	0	473333.12981335	0	202857.055634293	0	0	0
Jan-2036	0	0	0	0	0	347703.863143548	0	162087.515149624	0	0	0
Feb-2036	0	0	0	0	0	871226.105361842	0	234348.794163787	0	0	0
Mar-2036	0	0	0	0	0	423613.550513047	0	104601.781746797	0	0	0
Apr-2036	0	0	0	0	0	163824.10482434	0	52399.6217636677	0	0	0
May-2036	0	0	0	0	0	239415.11289723	0	23769.2702013078	0	0	0
Jun-2036	0	0	0	0	0	493036.917374414	0	53522.5261517565	0	0	0
Jul-2036	0	0	0	0	0	584079.241081358	0	111029.788799937	0	0	0
Aug-2036	0	0	0	0	0	534165.42413276	0	98273.7575555822	0	0	0
Sep-2036	0	0	0	0	0	508413.233708298	0	134836.583042763	0	0	0
Oct-2037	0	0	0	0	0	568314.866009851	0	121922.220389657	0	0	0
Nov-2037	0	0	0	0	0	345526.252125164	0	69105.2504250329	0	0	0
Dec-2037	0	0	0	0	0	841037.903672274	0	169299.837752212	0	0	0
Jan-2037	0	0	0	0	0	667858.701867613	0	133571.740373523	0	0	0
Feb-2037	0	0	0	0	0	574236.557560373	0	114847.311512075	0	0	0
Mar-2037	0	0	0	0	0	558639.811861877	0	111727.962372376	0	0	0
Apr-2037	0	0	0	0	0	272589.115862577	0	54889.9584842733	0	0	0
May-2037	0	0	0	0	0	341638.046207698	0	0	0	0	0
Jun-2037	0	0	0	0	0	467288.422282995	0	0	0	0	0
Jul-2037	0	0	0	0	0	413381.754631132	0	0	0	0	0
Aug-2037	0	0	0	0	0	474449.1025331	0	0	0	0	0
Sep-2037	0	0	0	0	0	569343.372142719	0	15815.0936706311	0	0	0
Oct-2038	0	0	0	0	0	677353.855159156	0	76766.770251371	0	0	0
Nov-2038	0	0	0	0	0	442086.287758568	0	88417.2575517139	0	0	0
Dec-2038	0	0	0	0	0	984154.771528134	0	196830.954305628	0	0	0
Jan-2038	0	0	0	0	0	619063.269693492	0	123812.653938699	0	0	0
Feb-2038	0	0	0	0	0	592266.94571659	0	118453.389143318	0	0	0
Mar-2038	0	0	0	0	0	622765.543246323	0	124553.108649265	0	0	0
Apr-2038	0	0	0	0	0	627775.648463577	0	123462.544197837	0	0	0
May-2038	0	0	0	0	0	509624.362066771	0	70293.0154574856	0	0	0
Jun-2038	0	0	0	0	0	416079.892022698	0	0	0	0	0
Jul-2038	0	0	0	0	0	346985.033842513	0	0	0	0	0
Aug-2038	0	0	0	0	0	528575.881629312	0	0	0	0	0
Sep-2038	0	0	0	0	0	720231.003392121	0	21825.1819209734	0	0	0
Oct-2039	0	0	0	0	0	680664.344552358	0	93241.6910345695	0	0	0
Nov-2039	0	0	0	0	0	384054.355141061	0	79186.4649775385	0	0	0
Dec-2039	0	0	0	0	0	990620.762620948	0	198124.15252419	0	0	0
Jan-2039	0	0	0	0	0	3406719.51076582	0	162349.430951177	0	0	0
Feb-2039	0	0	0	0	0	8317534.71098527	0	239056.993675494	0	0	0
Mar-2039	0	0	0	0	0	1942980.82358055	0	97149.0411790277	0	0	0
Apr-2039	0	0	0	0	0	328976.769946122	0	27414.7308288435	0	0	0
May-2039	0	0	0	0	0	388614.50254355	0	18172.6206225402	0	0	0
Jun-2039	0	0	0	0	0	435282.486133631	0	0	0	0	0
Jul-2039	0	0	0	0	0	528798.029587075	0	0	0	0	0
Aug-2039	0	0	0	0	0	604477.400928782	0	0	0	0	0
Sep-2039	0	0	0	0	0	518106.379775901	0	4934.34647405621	0	0	0
Oct-2040	0	0	0	0	0	788884.428392066	0	99145.9557534132	0	0	0
Nov-2040	0	0	0	0	0	483248.163225603	0	69035.4518893718	0	0	0
Dec-2040	0	0	0	0	0	750493.035499331	0	114624.347752366	0	0	0
Jan-2040	0	0	0	0	0	498373.847153509	0	99674.7694307022	0	0	0
Feb-2040	0	0	0	0	0	1173344.11429385	0	234668.822858769	0	0	0
Mar-2040	0	0	0	0	0	1681280.39861372	0	148067.307832459	0	0	0
Apr-2040	0	0	0	0	0	509641.440399092	0	42687.9155206077	0	0	0
May-2040	0	0	0	0	0	536677.417538168	0	0	0	0	0
Jun-2040	0	0	0	0	0	678038.062369733	0	0	0	0	0
Jul-2040	0	0	0	0	0	828411.829411626	0	0	0	0	0
Aug-2040	0	0	0	0	0	849885.425190935	0	0	0	0	0
Sep-2040	0	0	0	0	0	1060278.54318276	0	0	0	0	0
Oct-2041	0	0	0	0	0	814930.594258116	0	127348.952347834	0	0	0
Nov-2041	0	0	0	0	0	424115.334867163	0	56015.232906984	0	0	0
Dec-2041	0	0	0	0	0	1362810.10546809	0	158006.968749925	0	0	0
Jan-2041	0	0	0	0	0	4231061.3356268	0	156987.314667183	0	0	0
Feb-2041	0	0	0	0	0	1322705.71385864	0	163333.009870085	0	0	0
Mar-2041	0	0	0	0	0	6669748.18099611	0	3351332.20892931	0	0	0
Apr-2041	0	0	0	0	0	9955924.18523488	0	12501741.4354373	0	0	0
May-2041	0	0	0	0	0	5608230.16201341	0	3767782.47609413	0	0	0
Jun-2041	0	0	0	0	0	2895330.04493558	0	1289717.84682214	0	0	0
