future_nonIrr_inflows[, 1]	Cold.Stream	Hamlin.Creek	Turner.Creek	Fletcher.Creek	Carman.Creek	Big.Grizzly.Creek	Mapes.Creek	Little.Last.Chance.Creek	Correco.Canyon	Bear.Valley.Creek.Smithneck.Creek	Lemon.Creek
Jan-2032	0	0	0	0	0	8016809.09218309	0	186437.420748445	0	0	0
Feb-2032	0	0	0	0	0	2051745.90749223	0	178412.68760802	0	0	0
Mar-2032	0	0	0	0	0	1498809.50472218	0	130331.26128019	0	0	0
Apr-2032	0	0	0	0	0	1339110.83356356	0	116444.420309875	0	0	0
May-2032	0	0	0	0	0	670620.019248544	0	26579.4519824118	0	0	0
Jun-2032	0	0	0	0	0	481319.742094273	0	0	0	0	0
Jul-2032	0	0	0	0	0	447856.869843523	0	0	0	0	0
Aug-2032	0	0	0	0	0	493660.624727822	0	0	0	0	0
Sep-2032	0	0	0	0	0	267489.245427627	0	7362.08932369615	0	0	0
Oct-2033	0	0	0	0	0	625279.010943273	0	125971.961911648	0	0	0
Nov-2033	0	0	0	0	0	654055.868191002	0	65405.5868191002	0	0	0
Dec-2033	0	0	0	0	0	2356564.41817857	0	181274.186013737	0	0	0
Jan-2033	0	0	0	0	0	17799774.2669786	0	206239.208475552	0	0	0
Feb-2033	0	0	0	0	0	1416705.15375209	0	156172.221673458	0	0	0
Mar-2033	0	0	0	0	0	1068011.96619617	0	213602.393239234	0	0	0
Apr-2033	0	0	0	0	0	5200008.75565436	0	10351537.4945353	0	0	0
May-2033	0	0	0	0	0	5243160.57991087	0	5577093.91393238	0	0	0
Jun-2033	0	0	0	0	0	2696891.73401091	0	794736.211471813	0	0	0
Jul-2033	0	0	0	0	0	1378500.6633558	0	0	0	0	0
Aug-2033	0	0	0	0	0	1393208.52987299	0	0	0	0	0
Sep-2033	0	0	0	0	0	1623530.3217231	0	0	0	0	0
Oct-2034	0	0	0	0	0	858463.269486638	0	107890.532845139	0	0	0
Nov-2034	0	0	0	0	0	914654.269431764	0	130664.895633109	0	0	0
Dec-2034	0	0	0	0	0	1031860.61476872	0	157598.197910692	0	0	0
Jan-2034	0	0	0	0	0	1030268.84809583	0	206053.769619166	0	0	0
Feb-2034	0	0	0	0	0	952630.612702988	0	190526.122540598	0	0	0
Mar-2034	0	0	0	0	0	1783551.35994103	0	157074.125449353	0	0	0
Apr-2034	0	0	0	0	0	541625.527585035	0	45366.9245327636	0	0	0
May-2034	0	0	0	0	0	589447.05275756	0	0	0	0	0
Jun-2034	0	0	0	0	0	752195.149904262	0	0	0	0	0
Jul-2034	0	0	0	0	0	844124.494063585	0	0	0	0	0
Aug-2034	0	0	0	0	0	861559.213872549	0	0	0	0	0
Sep-2034	0	0	0	0	0	1030147.0655026	0	0	0	0	0
Oct-2035	0	0	0	0	0	360260.124517899	0	126232.878275957	0	0	0
Nov-2035	0	0	0	0	0	349009.476596482	0	130878.553723681	0	0	0
Dec-2035	0	0	0	0	0	526322.790552651	0	225566.910236851	0	0	0
Jan-2035	0	0	0	0	0	636239.545926043	0	296592.871033194	0	0	0
Feb-2035	0	0	0	0	0	955638.93991044	0	257054.778140467	0	0	0
Mar-2035	0	0	0	0	0	595740.568136283	0	147104.654254882	0	0	0
Apr-2035	0	0	0	0	0	220504.255683479	0	70528.9347222894	0	0	0
May-2035	0	0	0	0	0	285181.512314521	0	28312.9846758303	0	0	0
Jun-2035	0	0	0	0	0	542930.791388298	0	58938.8470855753	0	0	0
Jul-2035	0	0	0	0	0	607369.898915619	0	115457.196313277	0	0	0
Aug-2035	0	0	0	0	0	555040.571443727	0	102114.289108342	0	0	0
Sep-2035	0	0	0	0	0	527867.72941053	0	139996.12168454	0	0	0
Oct-2036	0	0	0	0	0	360260.124517899	0	126232.878275957	0	0	0
