future_irr_inflows[, 1]	Cold.Stream	Hamlin.Creek	Turner.Creek	Fletcher.Creek	Carman.Creek	Big.Grizzly.Creek	Mapes.Creek	Little.Last.Chance.Creek	Correco.Canyon	Bear.Valley.Creek.Smithneck.Creek	Lemon.Creek
Jun-2032	3273710.29135313	70474.3119854688	22228.6459226708	4106.91432544927	26486.6294348149	210989.475986531	6892.5953944993	3417589.94957349	0	402722.675838178	71211.5634708101
Jul-2032	824800.053806502	42842.6210327546	11544.687009359	2996.16448585357	21611.6361629888	318149.68895988	4445.47258428401	3090946.59351022	0	308395.20465398	60472.8109291013
Aug-2032	403776.369363463	22898.4598441578	6582.44294029273	2022.76248866694	15971.2886722258	275074.576962766	2707.06007812637	2755657.81564486	0	182917.093364833	46696.509365288
Sep-2032	240731.115296203	12065.1832007115	4476.82359687766	1435.75952550494	11749.338343893	360742.376861112	1665.09891545367	856456.391323318	0	113105.875840662	32721.3813623878
Oct-2033	280992.072225194	32720.5681476652	10907.3058378006	3057.40388287994	26011.8103633783	15345.6753601462	8562.41288280056	226749.531440966	0	157006.467479646	54442.1102425264
Nov-2033	183972.351787271	23303.1757976169	16169.7803284706	2193.80374863754	23625.1371549958	6540.55868191002	6927.6678294316	130811.173638201	0	126613.887378592	39727.1869899122
Dec-2033	32268331.266206	3253151.61560175	5738781.2436023	2110169.00635769	3756097.51285993	6724.68754567085	1492519.64446051	0	0	19944703.2842863	6287073.71859503
Jan-2033	5116835.61525256	550186.786948389	1020669.92729499	465809.002133756	1992965.04579409	0	566941.592107859	0	0	3585308.80348672	1558984.6312976
Feb-2033	8602731.26904937	777444.34612485	938800.485745405	489681.770434218	1948461.63501663	0	533325.711479519	0	0	6386365.73840641	2482286.82861676
Mar-2033	4308766.46207653	398359.797165456	441510.730548038	269585.287177092	1627071.82265569	0	424088.31575629	0	0	3154714.82581453	1522500.47873734
Apr-2033	16245367.099528	1517930.4936016	1757592.37531227	775116.967857638	1983625.68130253	0	516136.481962818	0	0	10175020.6254913	3940497.73673286
May-2033	3812927.41019849	312264.456031934	231262.299797717	84202.8021849322	54177.9788049715	0	22257.3422264728	0	0	2011139.52826248	593417.404907992
Jun-2033	7229888.0906357	473896.979581254	224460.457562519	93952.9667510386	44584.5897441398	192169.821626381	19181.9958736651	1457559.24030179	0	2007991.26646956	320474.879982638
Jul-2033	6552458.63448711	475489.184227276	65456.9839180542	55933.2305706576	41847.5284404721	331983.413344059	17995.434383888	2950475.10402469	0	1447000.00017914	97782.2917754998
