future_nonIrr_inflows[, 1]	Cold.Stream	Hamlin.Creek	Turner.Creek	Fletcher.Creek	Carman.Creek	Big.Grizzly.Creek	Mapes.Creek	Little.Last.Chance.Creek	Correco.Canyon	Bear.Valley.Creek.Smithneck.Creek	Lemon.Creek
Jun-2043	0	0	0	0	0	3466865.91055921	0	1544307.13182718	0	0	0
Jul-2043	0	0	0	0	0	1157668.6769756	0	70402.6071333864	0	0	0
Aug-2043	0	0	0	0	0	1303439.14744098	0	75000.6748411514	0	0	0
Sep-2043	0	0	0	0	0	1383555.9517081	0	93851.7166366547	0	0	0
Oct-2044	0	0	0	0	0	697623.090843017	0	149663.085232758	0	0	0
Nov-2044	0	0	0	0	0	1474842.10458337	0	294968.420916674	0	0	0
Dec-2044	0	0	0	0	0	2047884.86801483	0	412236.564340649	0	0	0
Jan-2044	0	0	0	0	0	1117889.28628864	0	223577.857257729	0	0	0
Feb-2044	0	0	0	0	0	1217574.57660625	0	243514.91532125	0	0	0
Mar-2044	0	0	0	0	0	944166.459688163	0	188833.291937633	0	0	0
Apr-2044	0	0	0	0	0	475322.589132901	0	95713.4223851237	0	0	0
May-2044	0	0	0	0	0	509962.770228132	0	0	0	0	0
Jun-2044	0	0	0	0	0	645645.912479874	0	0	0	0	0
Jul-2044	0	0	0	0	0	474284.212543994	0	0	0	0	0
Aug-2044	0	0	0	0	0	541874.28149113	0	0	0	0	0
Sep-2044	0	0	0	0	0	650315.786190558	0	18064.3273941822	0	0	0
Oct-2045	0	0	0	0	0	682253.442902301	0	142904.437364672	0	0	0
Nov-2045	0	0	0	0	0	1027424.59810204	0	205484.919620409	0	0	0
Dec-2045	0	0	0	0	0	1781193.17229242	0	356238.634458486	0	0	0
Jan-2045	0	0	0	0	0	1507739.07576251	0	301547.815152504	0	0	0
Feb-2045	0	0	0	0	0	1892195.83377512	0	378439.166755024	0	0	0
Mar-2045	0	0	0	0	0	1138868.44187468	0	227773.688374937	0	0	0
Apr-2045	0	0	0	0	0	572142.306748496	0	114428.461349699	0	0	0
